product_name_en,ingredients_text_en,brands,categories,labels,origins,countries
toms toddler toothpaste,"glycerin, propanediol, water, hydrated silica, xylitol, benzyl alcohol, carrageenan, natural flavor, citric acid",,,,,United States
Pro-Health Advanced Sensitive Releif,"Stannous fluoride 0.454%... (0.16% w/v fluoride ion) Drug Facts (continued) Purposes serious problem that may need prompt care. Anticavity, antigingivitis, Keep out of reach of children. If more than used for antisensitivity toothpaste brushing is accidentally swallowed, get medical help or contact a Poison Control Center right away. Directions Uses aids in the prevention of cavities helps prevent gingivitis ⚫helps interfere with the harmful effects of plaque associated with gingivitis ⚫helps control plaque bacteria that contribute to the development of gingivitis • builds increasing protection against painful sensitivity of the teeth to cold, heat, acids, sweets or contact Warnings When using this product do not use for sensitivity longer than four weeks unless recommended by a dentist. Stop use and ask a dentist if the sensitivity problem persists or worsens. Sensitive teeth may indicate a adults and children 12 yrs. of age & older: apply at least a 1-inch strip of the product onto a soft bristle toothbrush. Brush teeth thoroughly for at least 1 minute twice a day (morning and evening) or as recommended by a dentist. Make sure to brush all sensitive areas of the teeth. ⚫ do not swallow children under 12 yrs. of age: ask a dentist Other information ⚫products containing stannous fluoride may produce surface staining of the teeth ⚫adequate toothbrushing may prevent these stains which are not harmful or permanent and may be Drug Facts (continued) removed by your dentist this Crest is specially formulated to help prevent staining see your dentist regularly Inactive ingredients glycerin, hydrated silica, sodium hexametaphosphate, propylene glycol, PEG-6, water, zinc lactate, flavor, sodium lauryl sulfate, sodium gluconate, sodium saccharin, trisodium phosphate, xanthan gum, PVP, carrageenan, cocamidopropyl betaine, titanium dioxide, blue 1 Questions? 1-800-594-4158 *Clinically proven on plaque, gingivitis, and sensitivity benefits **Protects against plaque bacteria that lead to gingivitis with twice daily brushing *Helps prevent plaque bacteria that can cause gingivitis; among Stannous Fluoride toothpastes vs Sodium Fluoride; With Twice Daily Brushing DISTR. BY PROCTER & GAMBLE, CINCINNATI, OH 45202 P&G www.pg.com www.crest.com Patents: www.pg.com/patents © 2023 P&G 3/ 0",Crest,"Dental, Toothpaste",No gluten,,United States
,,,Toothpaste,,,India
glister,,multi-action fluoride toothpaste,,,,
,"Vegetable glycerin (humectant), water (hooray), hydrated silica (polishes and cleans teeth; thickener), calcium carbonate (polishes and cleans teeth), sorbitol (humectant), erythritol (sweetener), xylitol (sweetener), flavor (freshens breath), xanthan gum (thickener), sodium bicarbonate (maintains stability), potassium citrate (maintains stability), sodium cocoyl glutamate (cleanser), zinc citrate (freshens breath), tetrasodium pyrophosphate (maintains stability), cocamidopropyl betaine (cleanser), cocos nucifera (coconut) oil (humectant)*, rebaudioside a (sweetener from stevia)*, melaleuca alternifolia (tea tree) leaf oil (freshens breath) *certified organic uses: helps to brush away plaque and control tartar. directions: brush teeth thoroughly, preferably after each meal or at least twice per day, or as directed by a dentist of physician. smile often. repeat. keep out of reach of children. children under 6 years of age thould have adult supervision and use only a pea-sized mount. wist off cap to remove foil seal. don't use if safety seal is ken",,Toothpaste,"Vegetarian, Vegan",Globally sourced and made in usa,
,,,Toothpaste,,,United States
,,,Toothpaste,,,Sverige
Natural Toothpaste,,The Humble Co,"Non alimentaire, Open Beauty Facts, en:toothpaste","Végétarien, Végétalien, The Vegan Society",,France
,,,Toothpastes,,,United Kingdom
sensodyne extra whitening toothpaste,"potassium nitrate 5% sodium flouride ,024% inactive ingredients water, sorbitol, hydrated silica, glycerin, peg-12, tetrasodium pyrophosphate, flavor, sodium lauryl sulfate, zinc phosphate, cellulose gum, sodium citrate, microcrystalline cellulose, sodium saccharin, cocamidopropyl betaine, xanthan gum, citric acid, sucralose, titanium dioxide,",,,,,United States
Complete care toothpaste,,Grants,Toothpaste,"Vegetarian, Vegan, Australian made",,Australia
toothpaste,,sensitive teeth,,,,"Canada, Germany"
Hapee  Toothpaste,,Hapee,,Halal,,United States
,,,Toothpaste,,,United Kingdom
,,,en:toothpaste,,,Norge
Pink Himalayan Salt Toothpaste - Creamy Mint,"directions: for adults and supervised dren 2 years of age, for be sults use twice daily, wa : keep out of reach of children under 6 years of age, if you accidentally swallow the product, contact a health care provider immediately, ingredients/ingredients (inci) : calcium carbonate, glycerin, purified water (aqua), melaleuca alternifolia (tea tree) leaf water, natural flavor (aroma), cellulose gum, sodium lauroyl sarcosinate, sodium chloride (pink himalayan salt) eco-harvest® melaleuca alternifolia (tea tree) leaf oil, aloe barbadensis leaf juice, virgin cocos nucifera (coconut) oil*, mentha viridis (spearmint) leaf 0il, zinc citrate, sodium bicarbonate (baking soda), hamamelis virginiana (witch hazel) extract, magnesium chłoride, calcium ascorbate, xylitol certified organic you will have a healthy mouth and a bright smile thanks to the toothpaste without carrageenan desert essence, the pink salt of the himalayas, rich in minerals, and oil virgin coconut to remove the impurities while the mixture of essential oils and plant extracts provides a complete care for teeth and gums",Desert Essence,,"No gluten, No GMOs, Non GMO project, Sans gluten, Végétalien, Végétarien",,"United States, World"
Cinnamon All-One Toothpaste,"generous, fair , loving all-one!, to spaceship earth and ll developed ,",Dr. Bronner's,"Non food products, Open Beauty Facts","Fair trade, Organic, No GMOs, Non GMO project",,"United States, World"
Spearmint All-One Toothpaste,,Dr. Bronner's,,"No GMOs, Non GMO project",,"Panama, World"
Anise All-One Toothpaste,,Dr. Bronner's,,"Organic, No GMOs, Non GMO project",,World
Peppermint All-One Toothpaste,,Dr. Bronner's,,"No GMOs, Non GMO project",,World
Toothpaste Tablets Natural Berry Flavor,,ChildLife Essentials,,"No GMOs, Non GMO project",,World
Natural Tea Tree Oil & Neem Toothpaste - Wintergreen // Dentifrice a L'Huile de Theier et au Margousier a Feuilles de Frene - Wintergreen,,Desert Essence,,"No GMOs, Non GMO project",,World
Natural Tea Tree Oil Toothpaste - Fennel // Dentifrice a L'Huile Naturelle de Theier - Fenouil,,Desert Essence,,"No GMOs, Non GMO project",,World
Coconut Oil Toothpaste - Coconut Mint,,Desert Essence,,"No GMOs, Non GMO project",,World
Prebiotic Plant-Based Toothpaste Gingermint,,Desert Essence,,"No GMOs, Non GMO project",,World
Prebiotic Plant-Based Toothpaste Mint,,Desert Essence,,"No GMOs, Non GMO project",,World
Natural Neem Toothpaste Cinnamint with Baking Soda & Essential Oil of Mint,,Desert Essence,,"No GMOs, Non GMO project",,World
Tea Tree Oil Whitening Plus Toothpaste - Cool Mint // Huile de Melaleuca Blanchiment Extrene Dentifrice - Menthe Fraiche,,Desert Essence,,"No GMOs, Non GMO project",,World
Tea Tree Oil Ultra Care Toothpaste - Mega Mint // Huile de Melaleuca Soin Ultra Dentrifrice - Menthe Intense,,Desert Essence,,"No GMOs, Non GMO project",,World
Aloe & Tea Tree Oil Toothpaste - Peppermint,,Desert Essence,,"No GMOs, Non GMO project",,World
Activated Charcoal Toothpaste - Fresh Mint,,Desert Essence,,"No GMOs, Non GMO project",,World
Arnica & Tea Tree Oil Toothpaste - Wintergreen,,Desert Essence,,"No GMOs, Non GMO project",,World
Sensodyne Fresh Mint Toothpaste for Sensitive Teeth,"Water, Hydrated silica, Sorbitol, Potassium Nitrate, Glycerin, Aroma, Xanthan gum, Sodium saccharin, Fluoride, Sodium hydroxide, Sodium lauryl sulfate, Titanium dioxide, PEG-6, Cocamidopropyl betaine",Sensodyne,"Oral Health, Toothpaste","No GMOs, ADA Seal of Acceptance, Award Recognitions, Cruelty-FreeGluten-FreeVegan Certification, ISO Certification, Project Verified, SLS-FreeRecyclable Packaging",,United States
,,Meridol,Toothpaste,,,Switzerland
Toothpaste,,Aquafresh,"Non food products, Open Beauty Facts",,,United Kingdom
,,,"Non alimentaire, Open Beauty Facts",,,Burkina Faso
Toothpaste,,,,,,Philippines
Perfect white toothpaste 1+1,,Beverly hills,,,,United Arab Emirates
Complete care 1+1  toothpaste,,Arm and hammer,,,,United Arab Emirates
aquafresh toothpaste,"aqua, hydrated silica, sorbitol, glycerin, sodium lauryl sulfate, aroma, xanthan gum, titanium dioxide, peg-6, sodium fluoride, sodium saccharin, carrageenan, limonene. ci 73360, ci 74160. contains/bevat: sodium fluoride 0.315% w/w (1450 ppm fluoride)/ natriumfluoride (1450 ppm f)",,"Non food products, Open Beauty Facts",,,United Kingdom
Dantveer Toothpaste,,"Zandu,Emami","Non food products, Open Products Facts, Open Beauty Facts",,,India
Dr Bronners ToothPaste,"generous, fair , loving dr, bronner's all-one!, to spaceship earth and ll developed ,",,"Non food products, Open Beauty Facts",Fair trade,,United States
hello charcoal toothpaste,"sorbitol (humectant), hydrated silica (polishes and cleans teeth), vegetable glycerin (soothes and moisturizes), xylitol (sweetener), purified water, charcoal powder (whitens, polishes and cleans teeth/freshens breath), flavor (freshens breath), xanthan gum (thickener), titanium dioxide (mineral), cocamidopropyl betaine (cleanser), sodium cocoyl glutamate (cleanser), coconut oil (soothes and moisturizes), potassium sorbate (maintains stability) and stevia rebaudiana leaf extract* (sweetener),  *certified organic bye p leaping bunny certified, never tested on animals   vegan, 20 our tubes are bpa-free   contain no phthalates, bonus, globally sourced ingredients   made let's be friends, in the usa, rock on, th 100% recyclable paperboard   printed with soy inks,",,"Non food products, Open Beauty Facts","Vegetarian, Vegan",,United States
Toothpaste,"SORBITOL SILICA, WATER (AQUAL, PEG-32, SODIUM LAURYL SULFATE, FLAVOR XANTHAN GUM, TETRASODIUM PYROPHOSPHATE, BENZYL ALCOHOL, CHARCOAL POWDER SODIUM SACCHARIN, SODIUM BENZOATE, TRISODIUM PHOSPHATE, TETRAPOTASSIUM PYROPHOSPHATE",,"Non food products, Open Beauty Facts",,,United States
"Sensodyne Extra Fresh Toothpaste, 100 ml",,Sensodyne,"Non food products, Open Beauty Facts",,,Egypt
Neem Herbal Toothpaste,"*neem, *babool, lodhar, triphala, bakul, *miswak, *hirabol, kapoor, neem oil, *sat ajwain, *cinnamon oil, tea tree, olive oil, natural flavor, *clove, *cardamom, *moringa, *black seed, aloe vera, baking soda, liquorice (yastimadhu), ci 19140, ci 42090, sorbitol, stevia, silica, carboxy methyl cellulose, xantham gum, flavour, sodium benzoate, dm water, certified oraganic ingredients*",,"Non food products, Open Beauty Facts",,,United States
toothpaste,,agarta,"Non food products, Open Beauty Facts, Toothpaste",,,
,,longrich,"Non alimentaire, Open Beauty Facts",,,Cameroun
Toothpaste,,,"Non food products, Open Beauty Facts",Made in Germany,,Iraq
,,Logodent,"Productos no alimenticios, Open Beauty Facts, Dentifrico","Ecológico, Vegetariano, Vegano, Hecho en Alemania, Naturkosmetik",Alemania,España
brushbuddies herbal toothpaste infused with acivated charcoal,"sorbitol, silica, water (aqua), peg-32, sodium lauryl sulfate, flavor, xanthan gum, tetrasodium pyrophosphate, benzyl alcohol, charcoal powder, sodium saccharin, sodium benzoate, trisodium phosphate, tetrapotassium pyrophosphate brush buddies www.brushbuddies.com questions or comments? 1-877-274-8358 toll free in usa ui-909-434-0911 international patents, copyrights & trademarks granted or pending worldwide",,"Non food products, Open Beauty Facts",,,United States
Silca putzi children toothpaste,paste,,"Non food products, Open Beauty Facts",,,Qatar
SILCA TOOTHPASTE,,,"Non food products, Open Beauty Facts",,,
OHP1450 toothpaste,,,"Non food products, Open Beauty Facts",,,United Kingdom
The humble. Co toothpaste,"adults and children 2 years brush teeth thoroughly, preferatly after each meal or at least hwice day, or as directed by a dentist or dhocty children under 6 years of age instruct in good brushing and rinsing habits (to minimize swallowing) supervise chiltm as necessary unfl capable df using without supervision of age and older children under 2 years of age consult a dentist or doctor sc sc el other information store below 25°c (77pf) na of inactive ingredients sorbitol, water, hydrae sie pr glucoside, xanthan gum, flavor, zinc gluconale, tarium dr dioxide, peppermint oil, mica, stevia rebaudiana extract mi spearmint leaf oil, iron oxides, limonene questions? call 1(858) 876-5174 go be chi to report a serious adverse event conas sm the humble company usa, inc. pro he 4475 mission blvd., san diego, ca. 2109",,"Non food products, Open Beauty Facts",,,United States
Crest Pro-Health Enamel Repair and Gum Toothpaste,"Active ingredient: Stannous fluoride 0.454% (0.14% w/v fluoride ion) 
Inactive ingredients: water, sorbitol, hydrated silica, sodium lauryl sulfate, sodium gluconate, flavor, carrageenan, sodium citrate, xanthan gum, zinc citrate, sodium saccharin, sodium hydroxide, stannous chloride, sucralose, titanium dioxide",,"Non food products, Open Beauty Facts",,,United States
Charcoal white toothpaste with peppermint,"sorbitol, hydrated silica, water, propylene glycol, sodium lauryl sulfate, menthol, dementholized peppermint oil, peppermint oil, spearmint oil, eucalyptus oil, anise camphor, wintergreen oil, clove oil, geranium oil, thymol, lemon oil, cellulose gum, charcoal powder, xanthan gum, trisodium phosphate anhydrous, sodium saccharin, sodium benzoate, black ho, 2 d,c",,"Non food products, Open Beauty Facts",,,United States
Red Seal Baking Soda Toothpaste,,Red Seal,"Non food products, Open Beauty Facts, Toothpaste",,,Australia
naturally friendly hello fluoride free toothpaste kids,"sorbitol (humectant), hydrated silica (polishes and cleans teeth), purified water, vegetable glycerin (soothes and moisturizes), aloe vera gel (soothes and moisturizes), xylitol (sweetener), erythritol (sweetener), natural flavor (yum), xanthan gum (thickener), lauryl glucoside (coconut/palm and corn derived cleanser), calcium glycerophosphate (mineral), titanium dioxide (mineral), potassium sorbate (maintains stability) and stevia rebaudiana leaf extract (sweetener), use: helps remove plaque with regular brushing, directions: brush teeth thoroughly to clean and help remove plaque, preferably after each meal or at least twice per day, or as directed by a dentist or physician, children under 6 years use only a pea-sized amount and supervise child's brushing and rinsing, safe for all ages, kids to adults, also appropriate for training, twist off cap to remove foil seal, do not use if safety seal is missing or broken, let's be globally sourced ingredients   made in the usa, rock on, friends, hello products are leaping bunny certified, never tested on animals   vegan, our tubes are bpa-free bye   contain no phthalates, bonus, 100% recyclable paperboard",,"Non food products, Open Beauty Facts","Vegetarian, Vegan",,United States
Toothpaste,,Biomedi,"Non food products, Open Beauty Facts",,,United Kingdom
toothpaste,"aqua, sorbitol, hydrated silica, glycerin, propylene glycol, cellulose gum, sodium c14-16 olefin sulfonate, xylitol, aroma, titanium dioxide, disodium phosphate, sodium fluoride, citric acid, sodium saccharin, carbomer,",,"Non food products, Open Beauty Facts",,,Sweden
Clinical white toothpaste,,Sensodyne,,,,United States
maharishi toothpaste,"Dicalcium Phosphate Dihydrate, Sorbitol, Glycerin, Aqua, Calcium Carbonate, Silica, Mentha Spicata Herb Oil, Mentha Piperita Oil, Quercus Infectoria Gall Extract, Terminalia Chebula Fruit Extract, Chondrus Crisps Extract, Terminalia Belerica Fruit Extract, Emblica Officinalis Fruit Extract, Barleria Prionitis Extract, Glycyrrhiza Glabra Root Extract, Piper Longum Fruit Extract, Albizzia Lebbeck Bark Extract, Zingiber Officinale Root Extract, Mimusops Elengi Bark Extract, Salvadora Persica Root Extract, Azadirachta Indica Bark Extract, Symplocos Racemosa Bark Extract, Sodium Silicate, Eugenia Caryophyllus Flower Oil, Acacia Catechu Bark Extract, Menthol, Thymol, Limonene*, Linalool*, Farnesol*, Isoeugenol*. *From real essential oils/100% Natural Ingredients Not suitable for children under the age of six",maharishi ayurveda,"Non food products, Open Beauty Facts, Toothpaste",,,India
,,,Toothpaste,,,Somalia
hello watermelon toothpaste,"sorbitol (humectant), hydrated silica (polishes and cleans teeth), purified water, vegetable glycerin (soothes and moisturizes), aloe vera gel (soothes and moisturizes), xylitol (sweetener), erythritol (sweetener), natural flavor (yum), xanthan gum (thickener), lauryl glucoside (coconut/palm and corn derived cleanser), calcium glycerophosphate (mineral), titanium dioxide (mineral), potassium sorbate (maintains stability) and stevia rebaudiana leaf extract (sweetener),",,Toothpaste,"Vegetarian, Vegan",,United States
simple truth kids toothpaste,"glycerin, water, calcium carbonate, hydrated silica, xylitol, aloe barbadensis leaf juice, flavor, sodium cocoyl glutamate. carrageenan.",,"Non food products, Open Beauty Facts",,,United States
,,,"Non alimentaire, Open Beauty Facts, en:toothpaste",,,Émirats arabes unis
Raspberry toothpaste tablets,,,"Non food products, Open Beauty Facts, Toothpaste tablets, Toothpaste-tablets","Vegetarian, Vegan",,United Kingdom
Hello ToothPaste,"sorbitol, purified water, hydrated silica, glycerin, xylitol, calcium carbonate, xanthan gum, flavor, titanium dioxide, coconut oil, cocamidopropyl betaine, sodium cocoyl glutamate, stevia rebaudiana leaf extract and tea tree oil questions? 855-hi-hello (1-855-444-3556) acts llc",,"Non food products, Open Beauty Facts, Toothpaste",,,United States
Colgate Cavity Protection - Regular,"non-medicinal ingredients / ingrédients non-medicinal: aqua, aroma, cellulose gum, dicalcium phosphate dihydrate, glycerin, sodium lauryl sulfate, sodium saccharine, tetrasodium pyrophosphate",Colgate,"Non alimentaire, Open Beauty Facts, en:toothpaste",,,Canada
Kids toothpaste,,Colgate,"Non food products, Open Beauty Facts","Vegetarian, Vegan",,United Kingdom
Colgate fluoride toothpaste w aloe Vera,calgate,Colgate,"Non food products, Open Beauty Facts",,,Qatar
